1907.02537283  1907.02537283  0
1907.02537283  1909.02342831  1
1909.02342831  1911.0263708  2
1911.0263708  1913.03808485  3
1913.03808485  1917.52256692  4
2380.52943955  2387.5209108  0
2387.5209108  2389.02277325  1
2389.02277325  2391.02549868  2
2391.02549868  2395.02186305  3
2395.02186305  2399.02370209  4
2989.52101059  2993.52375548  0
2993.52375548  2995.53329094  1
2995.53329094  2997.01814055  2
2997.01814055  3001.0207451  3
3001.0207451  3005.52255989  4
3623.02228621  3630.02479607  0
3630.02479607  3631.04057941  1
3631.04057941  3633.02873936  2
3633.02873936  3637.52002598  3
3637.52002598  3641.03756921  4
4265.52362358  4275.52116193  0
4275.52116193  4277.52458391  1
4277.52458391  4279.54496447  2
4279.54496447  4283.02170368  3
4283.02170368  4287.52751026  4
4913.02441733  4924.02281473  0
4924.02281473  4925.51813597  1
4925.51813597  4927.52645304  2
4927.52645304  4931.52013543  3
4931.52013543  4935.02965892  4
5563.52101843  5570.03571085  0
5570.03571085  5571.53078037  1
5571.53078037  5573.52157806  2
5573.52157806  5577.52200549  3
5577.52200549  5581.53681859  4
6217.5270389  6221.53862319  0
6221.53862319  6223.52232272  1
6223.52232272  6225.52285885  2
6225.52285885  6229.52272904  3
6229.52272904  6233.53254429  4
6857.53737654  6870.51954488  0
6870.51954488  6871.52045813  1
6871.52045813  6873.52764508  2
6873.52764508  6877.52876003  3
6877.52876003  6881.52875207  4
7506.52279337  7511.52093635  0
7511.52093635  7513.52244513  1
7513.52244513  7515.52421144  2
7515.52421144  7519.52156977  3
7519.52156977  7523.52758992  4
8143.51917452  8156.52270599  0
8156.52270599  8157.51938211  1
8157.51938211  8159.52364335  2
8159.52364335  8163.52164294  3
8163.52164294  8167.52064725  4
8791.53942789  8795.52219622  0
8795.52219622  8797.52270562  1
8797.52270562  8799.52256111  2
8799.52256111  8801.53563635  3
8801.53563635  8807.51946498  4
9440.02960075  9443.52595078  0
9443.52595078  9447.02367168  1
9447.02367168  9447.53753295  2
9447.53753295  9451.52007885  3
9451.52007885  9455.5205424  4
10075.5193745  10083.5195643  0
10083.5195643  10085.5237471  1
10085.5237471  10087.531802  2
10087.531802  10091.5192935  3
10091.5192935  10095.5202958  4
10719.0204642  10723.5434572  0
10723.5434572  10725.5431014  1
10725.5431014  10727.5218174  2
10727.5218174  10729.5213587  3
10729.5213587  10735.5237564  4
11351.5293022  11359.5263321  0
11359.5263321  11363.0244845  1
11363.0244845  11363.5276102  2
11363.5276102  11367.5265821  3
11367.5265821  11371.5373825  4
11997.5192657  12003.0216416  0
12003.0216416  12003.532264  1
12003.532264  12005.5437559  2
12005.5437559  12009.5205107  3
12009.5205107  12013.5393966  4
12628.5219758  12635.5219063  0
12635.5219063  12637.5223461  1
12637.5223461  12639.5214795  2
12639.5214795  12643.5305434  3
12643.5305434  12647.5233107  4
13267.0253723  13273.0235091  0
13273.0235091  13273.5202188  1
13273.5202188  13275.525827  2
13275.525827  13279.5283628  3
13279.5283628  13283.5225208  4
13900.5343103  13903.5267104  0
13903.5267104  13905.5205195  1
13905.5205195  13907.5286102  2
13907.5286102  13911.5228419  3
13911.5228419  13915.5191096  4
14524.0198287  14533.0218648  0
14533.0218648  14533.520262  1
14533.520262  14535.5147338  2
14535.5147338  14539.5213451  3
15136.5224434  15139.5370528  0
15139.5370528  15141.5205923  1
15141.5205923  15143.520449  2
15143.520449  15147.5264209  3
15734.0215513  15739.5217133  0
15739.5217133  15742.0294346  1
15742.0294346  15743.5147878  2
15743.5147878  15747.5208736  3
16328.520912  16333.540886  0
16333.540886  16335.5201809  1
16335.5201809  16337.5374038  2
16337.5374038  16339.5214266  3
16927.5275845  16934.5276768  0
16934.5276768  16935.5204973  1
16935.5204973  16937.5244967  2
16937.5244967  16939.5229289  3
17527.0285038  17533.5374252  0
17533.5374252  17535.5210556  1
17535.5210556  17537.5253009  2
17537.5253009  17539.5198609  3
18123.5218476  18130.0262041  0
18130.0262041  18132.0241982  1
18132.0241982  18133.5418384  2
18133.5418384  18137.5222944  3
18719.5201947  18725.5402388  0
18725.5402388  18727.5214049  1
18727.5214049  18729.5414321  2
18729.5414321  18733.5244705  3
19316.5393732  19321.5201505  0
19321.5201505  19323.5340967  1
19323.5340967  19325.5383921  2
19325.5383921  19329.5241084  3
19906.5185586  19913.5456717  0
19913.5456717  19915.5202016  1
19915.5202016  19917.5222999  2
19917.5222999  19920.5372064  3
20503.0206005  20507.5172038  0
20507.5172038  20509.5188112  1
20509.5188112  20511.5294059  2
20511.5294059  20515.5226029  3
21096.029435  21099.5273698  0
21099.5273698  21101.5237896  1
21101.5237896  21103.5206904  2
21103.5206904  21107.5259704  3
21679.5202226  21685.5378738  0
21685.5378738  21687.5343042  1
21687.5343042  21689.520448  2
21689.520448  21693.5301823  3
22268.0209811  22273.5228274  0
22273.5228274  22275.5301919  1
22275.5301919  22277.525123  2
22277.525123  22279.5205012  3
22858.0203167  22863.0241878  0
22863.0241878  22863.5256219  1
22863.5256219  22865.5397041  2
22865.5397041  22869.5231386  3
23441.5283209  23447.5208884  0
23447.5208884  23449.5213208  1
23449.5213208  23451.5273841  2
23451.5273841  23455.5242263  3
24024.520851  24027.5401294  0
24027.5401294  24029.5226395  1
24029.5226395  24031.5439276  2
24031.5439276  24035.5221927  3
24605.5263575  24613.5186746  0
24613.5186746  24615.525199  1
24615.525199  24617.5362848  2
24617.5362848  24619.5455286  3
25198.5204594  25203.0231942  0
25203.0231942  25203.5271357  1
25203.5271357  25205.5326633  2
25205.5326633  25209.0264303  3
